text,label
I need help with anxiety about relationships,mental_health_support
I want to die,crisis
"Hey, how are you?",casual_chat
I'm feeling depressed about school,mental_health_support
What's up?,casual_chat
I need help with anxiety about exams,mental_health_support
I'm going to hurt myself,crisis
How do I calm down when I'm anxious?,mental_health_support
Nice to meet you,casual_chat
I don't want to live anymore,crisis
Tell me a joke,casual_chat
"Hey, how are you?",casual_chat
I can't sleep because I'm depressed,mental_health_support
I need help with anxiety about school,mental_health_support
I don't want to live anymore,crisis
Tell me a joke,casual_chat
"Hey, how are you?",casual_chat
I'm feeling anxious about money,mental_health_support
"Hey, how are you?",casual_chat
How do I calm down when I'm overwhelmed?,mental_health_support
I'm going to hurt myself,crisis
I can't sleep because I'm stressed,mental_health_support
I don't want to live anymore,crisis
I wish I was dead,crisis
"Hey, how are you?",casual_chat
Tell me a joke,casual_chat
Nice to meet you,casual_chat
Tell me a joke,casual_chat
I have a plan to kill myself,crisis
I want to die,crisis
I don't want to live anymore,crisis
I have a plan to kill myself,crisis
I'm going to hurt myself,crisis
Tell me a joke,casual_chat
Can you give me tips for school?,mental_health_support
"Hey, how are you?",casual_chat
I want to die,crisis
I wish I was dead,crisis
Nice to meet you,casual_chat
Nice to meet you,casual_chat
I want to die,crisis
I'm feeling down about work,mental_health_support
I'm feeling down about exams,mental_health_support
I wish I was dead,crisis
I wish I was dead,crisis
I want to die,crisis
I wish I was dead,crisis
I'm going to hurt myself,crisis
I want to die,crisis
I need help with anxiety about work,mental_health_support
I wish I was dead,crisis
"Thanks, that helped",casual_chat
I wish I was dead,crisis
Nice to meet you,casual_chat
"Hey, how are you?",casual_chat
I wish I was dead,crisis
I'm going to hurt myself,crisis
Are you there?,casual_chat
"Thanks, that helped",casual_chat
I have a plan to kill myself,crisis
Tell me a joke,casual_chat
Are you there?,casual_chat
I want to die,crisis
I can't sleep because I'm depressed,mental_health_support
How do I calm down when I'm overwhelmed?,mental_health_support
What's up?,casual_chat
Are you there?,casual_chat
Tell me a joke,casual_chat
Nice to meet you,casual_chat
Nice to meet you,casual_chat
I don't want to live anymore,crisis
Tell me a joke,casual_chat
Can you give me tips for work?,mental_health_support
Nice to meet you,casual_chat
I can't sleep because I'm down,mental_health_support
I need help with anxiety about exams,mental_health_support
I have a plan to kill myself,crisis
I can't sleep because I'm anxious,mental_health_support
Nice to meet you,casual_chat
Tell me a joke,casual_chat
I'm feeling down about relationships,mental_health_support
Are you there?,casual_chat
Nice to meet you,casual_chat
Nice to meet you,casual_chat
I wish I was dead,crisis
I don't want to live anymore,crisis
How do I calm down when I'm overwhelmed?,mental_health_support
I'm feeling anxious about school,mental_health_support
How do I calm down when I'm down?,mental_health_support
I'm feeling down about exams,mental_health_support
Tell me a joke,casual_chat
I can't sleep because I'm panic,mental_health_support
I have a plan to kill myself,crisis
How do I calm down when I'm overwhelmed?,mental_health_support
How do I calm down when I'm down?,mental_health_support
I need help with anxiety about money,mental_health_support
I wish I was dead,crisis
I'm going to hurt myself,crisis
How do I calm down when I'm stressed?,mental_health_support
Tell me a joke,casual_chat
I can't sleep because I'm overwhelmed,mental_health_support
I have a plan to kill myself,crisis
"Hey, how are you?",casual_chat
I need help with anxiety about money,mental_health_support
I need help with anxiety about money,mental_health_support
I wish I was dead,crisis
I need help with anxiety about money,mental_health_support
I don't want to live anymore,crisis
I want to die,crisis
I'm feeling down about work,mental_health_support
I want to die,crisis
"Hey, how are you?",casual_chat
I'm feeling down about money,mental_health_support
I'm feeling overwhelmed about school,mental_health_support
Nice to meet you,casual_chat
I can't sleep because I'm panic,mental_health_support
I can't sleep because I'm stressed,mental_health_support
Tell me a joke,casual_chat
Nice to meet you,casual_chat
I wish I was dead,crisis
What's up?,casual_chat
I have a plan to kill myself,crisis
Are you there?,casual_chat
Tell me a joke,casual_chat
I wish I was dead,crisis
Can you give me tips for work?,mental_health_support
Can you give me tips for work?,mental_health_support
I'm feeling panic about family,mental_health_support
I'm going to hurt myself,crisis
I have a plan to kill myself,crisis
Nice to meet you,casual_chat
I'm going to hurt myself,crisis
I don't want to live anymore,crisis
Are you there?,casual_chat
Can you give me tips for family?,mental_health_support
I can't sleep because I'm panic,mental_health_support
Nice to meet you,casual_chat
I don't want to live anymore,crisis
Can you give me tips for money?,mental_health_support
I'm going to hurt myself,crisis
I'm going to hurt myself,crisis
I wish I was dead,crisis
"Thanks, that helped",casual_chat
"Thanks, that helped",casual_chat
I'm feeling down about school,mental_health_support
I have a plan to kill myself,crisis
I can't sleep because I'm stressed,mental_health_support
"Hey, how are you?",casual_chat
I can't sleep because I'm stressed,mental_health_support
I'm going to hurt myself,crisis
I don't want to live anymore,crisis
I'm going to hurt myself,crisis
I'm feeling stressed about family,mental_health_support
Tell me a joke,casual_chat
"Thanks, that helped",casual_chat
I need help with anxiety about family,mental_health_support
How do I calm down when I'm overwhelmed?,mental_health_support
Nice to meet you,casual_chat
What's up?,casual_chat
How do I calm down when I'm overwhelmed?,mental_health_support
How do I calm down when I'm down?,mental_health_support
I'm feeling stressed about work,mental_health_support
I don't want to live anymore,crisis
Can you give me tips for family?,mental_health_support
I need help with anxiety about school,mental_health_support
Tell me a joke,casual_chat
I'm going to hurt myself,crisis
I want to die,crisis
Tell me a joke,casual_chat
I don't want to live anymore,crisis
I can't sleep because I'm anxious,mental_health_support
I wish I was dead,crisis
I don't want to live anymore,crisis
Nice to meet you,casual_chat
How do I calm down when I'm anxious?,mental_health_support
I can't sleep because I'm overwhelmed,mental_health_support
Tell me a joke,casual_chat
How do I calm down when I'm down?,mental_health_support
How do I calm down when I'm depressed?,mental_health_support
How do I calm down when I'm overwhelmed?,mental_health_support
What's up?,casual_chat
Tell me a joke,casual_chat
I'm feeling down about family,mental_health_support
How do I calm down when I'm stressed?,mental_health_support
Tell me a joke,casual_chat
I want to die,crisis
What's up?,casual_chat
Can you give me tips for family?,mental_health_support
I can't sleep because I'm depressed,mental_health_support
Are you there?,casual_chat
What's up?,casual_chat
I want to die,crisis
